source,target,tgt_lng
"0-1 Loss Function","0-1损失函数","zh"
"Absolute Loss Function","绝对损失函数","zh"
"Absolute Value Rectification","绝对值整流","zh"
"Accept-Reject Sampling Method","接受-拒绝抽样法","zh"
"Acceptance Distribution","接受分布","zh"
"Access Parameters","访问参数","zh"
"Accumulated Error Backpropagation","累积误差反向传播","zh"
"Accuracy","准确率","zh"
"Acoustic","声学","zh"
"Acoustic Modeling","声学建模","zh"
"Acquisition Function","采集函数","zh"
"Action","动作","zh"
"Action Value Function","动作价值函数","zh"
"Actionism","行为主义","zh"
"Activation","活性值","zh"
"Activation Function","激活函数","zh"
"Active Learning","主动学习","zh"
"Actor","演员","zh"
"Actor-Critic Algorithm","演员-评论员算法","zh"
"Actor-Critic Method","演员-评论员法","zh"
"Adaptive Bitrate Algorithm","自适应比特率算法","zh"
"Adaptive Boosting","AdaBoost","zh"
"Adaptive Gradient Algorithm","AdaGrad","zh"
"Adaptive Moment Estimation Algorithm","Adam算法","zh"
"Adaptive Resonance Theory","自适应谐振理论","zh"
"Additive Model","加性模型","zh"
"Adversarial","对抗","zh"
"Adversarial Example","对抗样本","zh"
"Adversarial Networks","对抗网络","zh"
"Adversarial Training","对抗训练","zh"
"Affine Layer","仿射层","zh"
"Affine Transformation","仿射变换","zh"
"Affinity Matrix","亲和矩阵","zh"
"Agent","智能体","zh"
"Agglomerative","聚合","zh"
"Agnostic PAC Learnable","不可知PAC可学习","zh"
"Algorithm","算法","zh"
"Almost Everywhere","几乎处处","zh"
"Almost Sure","几乎必然","zh"
"Almost Sure Convergence","几乎必然收敛","zh"
"Alpha-Beta Pruning","α-β修剪法","zh"
"Alternative Splicing Dataset","选择性剪接数据集","zh"
"Ambiguity","分歧","zh"
"Analytic Gradient","解析梯度","zh"
"Ancestral Sampling","原始采样","zh"
"Annealed Importance Sampling","退火重要采样","zh"
"Anomaly Detection","异常检测","zh"
"Aperiodic","非周期的","zh"
"Aperiodic Graph","非周期性图","zh"
"Application-Specific Integrated Circuit","专用集成电路","zh"
"Approximate Bayesian Computation","近似贝叶斯计算","zh"
"Approximate Dynamic Programming","近似动态规划","zh"
"Approximate Inference","近似推断","zh"
"Approximation","近似","zh"
